State,ChanceC,ChanceT
alabama,0.4,99.6
arizona,27.5,72.5
arkansas,2.1,97.9
california,99.2,0.8
colorado,64.8,35.2
connecticut,91.3,8.7
delaware,82.4,17.6
florida,47.7,52.3
georgia,21.6,78.4
idaho,1,99
illinois,94.3,5.7
indiana,5.3,94.7
iowa,36,64
kansas,7.8,92.2
kentucky,2,98
louisiana,1.9,98.1
maine,73.7,26.3
maryland,99.5,0.5
massachusetts,97.9,2.1
michigan,70.6,29.4
minnesota,75.8,24.2
mississippi,3.2,96.8
missouri,11.3,88.7
montana,13.6,86.4
nebraska,4.2,95.8
nevada,50.1,49.9
new hampshire,62.6,37.4
new jersey,85.9,14.1
new mexico,78.6,21.4
new york,97.9,2.1
north carolina,45,55
north dakota,4.5,95.5
ohio,42.4,57.6
oklahoma,0.7,99.3
oregon,80,20
pennsylvania,70,30
rhode island,80.3,19.7
south carolina,8.7,91.3
south dakota,9.2,90.8
tennessee,1.1,98.9
texas,8.5,91.5
utah,2.7,97.3
vermont,94.8,5.2
virginia,75.1,24.9
washington,92.7,7.3
west virginia,1.8,98.2
wisconsin,70.6,29.4
wyoming,1.7,98.3
